round_label,n_questions,accuracy,hallucination_rate,avg_confidence,avg_truth_margin,model
Baseline,100,0.41,0.49,0.7017366626486182,-0.02519555564969778,Falcon3-1B
Round 1,100,0.44,0.52,0.718632987998426,-0.0481012212112546,Falcon3-1B
Round 2,100,0.42,0.51,0.7155931962281465,-0.0309382913261652,Falcon3-1B
Round 3,100,0.5,0.41,0.6961286382004619,-0.019324751980602742,Falcon3-1B
Round 4,100,0.45,0.49,0.7126150944083929,-0.037633373364806176,Falcon3-1B
Round 5,100,0.44,0.44,0.6888529937900603,-0.01843051230534911,Falcon3-1B
