round_label,n_questions,accuracy,hallucination_rate,avg_confidence,avg_truth_margin,model
Baseline,100,0.47,0.43,0.699249726459384,-0.018554073423147202,Llama-3.2-1B
Round 1,100,0.51,0.43,0.7169427438080311,-0.020257219448685648,Llama-3.2-1B
Round 2,100,0.49,0.44,0.6932595144212246,-0.024291467368602753,Llama-3.2-1B
Round 3,100,0.53,0.36,0.671293418854475,-0.010109557956457137,Llama-3.2-1B
Round 4,100,0.43,0.43,0.7038953523337841,-0.028689294904470444,Llama-3.2-1B
Round 5,100,0.45,0.44,0.705365463718772,-0.018110267743468286,Llama-3.2-1B
