round_label,n_questions,accuracy,hallucination_rate,avg_confidence,avg_truth_margin,model
Baseline,100,0.55,0.34,0.7365468997508288,0.002025092523545027,gpt-3.5-turbo
Round 1,100,0.54,0.42,0.768375303670764,-0.000517451986670494,gpt-3.5-turbo
Round 2,100,0.49,0.43,0.7422076503932477,-0.023704277835786342,gpt-3.5-turbo
Round 3,100,0.56,0.39,0.7616662508249283,-0.009426240511238575,gpt-3.5-turbo
Round 4,100,0.49,0.38,0.7142083142697812,-0.01301850438117981,gpt-3.5-turbo
Round 5,100,0.56,0.36,0.7652251370251179,-0.0033270836248993872,gpt-3.5-turbo
