round_label,n_questions,accuracy,hallucination_rate,avg_confidence,avg_truth_margin,model
Baseline,100,0.41,0.51,0.6934060975536704,-0.039533755108714104,Qwen-2.5-1.5B
Round 1,100,0.48,0.44,0.6849421703442932,-0.024205215498805045,Qwen-2.5-1.5B
Round 2,100,0.49,0.46,0.7200497775524854,-0.041619008779525755,Qwen-2.5-1.5B
Round 3,100,0.46,0.47,0.7082313045859336,-0.035526844672858715,Qwen-2.5-1.5B
Round 4,100,0.46,0.44,0.7154768913984298,-0.03276086428202689,Qwen-2.5-1.5B
Round 5,100,0.44,0.43,0.6624141979962588,-0.02152597464621067,Qwen-2.5-1.5B
